v7	0.5*(Id(M4)-Id(M3))
Step Information: Iq=10n  (Run: 1/8)
9.000000000000000e-001	3.969696e-005
Step Information: Iq=100n  (Run: 2/8)
-9.000000000000000e-001	4.401628e-005
-8.640000000000000e-001	4.104952e-005
-8.280000000000000e-001	3.813955e-005
-7.919999999999999e-001	3.529137e-005
-7.559999999999999e-001	3.250994e-005
-7.199999999999999e-001	2.980012e-005
-6.839999999999998e-001	2.716674e-005
-6.479999999999998e-001	2.461456e-005
-6.119999999999998e-001	2.214831e-005
-5.759999999999997e-001	1.977266e-005
-5.399999999999997e-001	1.749226e-005
-5.039999999999997e-001	1.531186e-005
-4.679999999999997e-001	1.323637e-005
-4.319999999999997e-001	1.127126e-005
-3.959999999999997e-001	9.422981e-006
-3.599999999999998e-001	7.699865e-006
-3.239999999999998e-001	6.113198e-006
-2.879999999999998e-001	4.678525e-006
-2.519999999999998e-001	3.416352e-006
-2.159999999999998e-001	2.350767e-006
-1.799999999999998e-001	1.503800e-006
-1.439999999999998e-001	8.846827e-007
-1.079999999999998e-001	4.784662e-007
-7.199999999999981e-002	2.445294e-007
-3.599999999999982e-002	1.315517e-007
1.804112415015879e-016	9.999998e-008
3.600000000000018e-002	1.376806e-007
7.200000000000018e-002	2.665284e-007
1.080000000000002e-001	5.436768e-007
1.440000000000002e-001	1.047862e-006
1.800000000000002e-001	1.845055e-006
2.160000000000002e-001	2.955821e-006
2.520000000000002e-001	4.352792e-006
2.880000000000001e-001	5.983806e-006
3.240000000000001e-001	7.796074e-006
3.600000000000001e-001	9.748048e-006
3.960000000000001e-001	1.181086e-005
4.320000000000001e-001	1.396531e-005
4.680000000000000e-001	1.619832e-005
5.040000000000000e-001	1.850029e-005
5.400000000000000e-001	2.086345e-005
5.760000000000001e-001	2.328097e-005
6.120000000000001e-001	2.574652e-005
6.480000000000001e-001	2.825415e-005
6.840000000000002e-001	3.079820e-005
7.200000000000002e-001	3.337333e-005
7.560000000000002e-001	3.597451e-005
7.920000000000003e-001	3.859706e-005
8.280000000000003e-001	4.123666e-005
8.640000000000003e-001	4.388931e-005
9.000000000000000e-001	4.655137e-005
Step Information: Iq=200n  (Run: 3/8)
-9.000000000000000e-001	4.664258e-005
-8.640000000000000e-001	4.363051e-005
-8.280000000000000e-001	4.067079e-005
-7.919999999999999e-001	3.776851e-005
-7.559999999999999e-001	3.492867e-005
-7.199999999999999e-001	3.215620e-005
-6.839999999999998e-001	2.945597e-005
-6.479999999999998e-001	2.683280e-005
-6.119999999999998e-001	2.429145e-005
-5.759999999999997e-001	2.183662e-005
-5.399999999999997e-001	1.947299e-005
-5.039999999999997e-001	1.720523e-005
-4.679999999999997e-001	1.503808e-005
-4.319999999999997e-001	1.297651e-005
-3.959999999999997e-001	1.102608e-005
-3.599999999999998e-001	9.193440e-006
-3.239999999999998e-001	7.487228e-006
-2.879999999999998e-001	5.919227e-006
-2.519999999999998e-001	4.505637e-006
-2.159999999999998e-001	3.267653e-006
-1.799999999999998e-001	2.229735e-006
-1.439999999999998e-001	1.413462e-006
-1.079999999999998e-001	8.267143e-007
-7.199999999999981e-002	4.537694e-007
-3.599999999999982e-002	2.575945e-007
1.804112415015879e-016	2.000000e-007
3.600000000000018e-002	2.691023e-007
7.200000000000018e-002	4.958349e-007
1.080000000000002e-001	9.458109e-007
1.440000000000002e-001	1.684596e-006
1.800000000000002e-001	2.739347e-006
2.160000000000002e-001	4.088673e-006
2.520000000000002e-001	5.682228e-006
2.880000000000001e-001	7.465854e-006
3.240000000000001e-001	9.395605e-006
3.600000000000001e-001	1.144050e-005
3.960000000000001e-001	1.357988e-005
4.320000000000001e-001	1.579982e-005
4.680000000000000e-001	1.809025e-005
5.040000000000000e-001	2.044315e-005
5.400000000000000e-001	2.285156e-005
5.760000000000001e-001	2.530910e-005
6.120000000000001e-001	2.780974e-005
6.480000000000001e-001	3.034777e-005
6.840000000000002e-001	3.291780e-005
7.200000000000002e-001	3.551474e-005
7.560000000000002e-001	3.813385e-005
7.920000000000003e-001	4.077075e-005
8.280000000000003e-001	4.342138e-005
8.640000000000003e-001	4.608202e-005
9.000000000000000e-001	4.874930e-005
Step Information: Iq=500n  (Run: 4/8)
-9.000000000000000e-001	5.034315e-005
-8.640000000000000e-001	4.727491e-005
-8.280000000000000e-001	4.425265e-005
-7.919999999999999e-001	4.128163e-005
-7.559999999999999e-001	3.836699e-005
