v3	V(ss)
Step Information: Iss=100n  (Run: 1/5)
-2.699999999999969e-002	4.531678e-001
-2.599999999999969e-002	4.526910e-001
-2.499999999999969e-002	4.522283e-001
-2.399999999999969e-002	4.517802e-001
-2.299999999999969e-002	4.513469e-001
-2.199999999999969e-002	4.509289e-001
-2.099999999999969e-002	4.505265e-001
-1.999999999999969e-002	4.501401e-001
-1.899999999999968e-002	4.497700e-001
-1.799999999999968e-002	4.494166e-001
-1.699999999999968e-002	4.490802e-001
-1.599999999999968e-002	4.487611e-001
-1.499999999999968e-002	4.484597e-001
-1.399999999999968e-002	4.481762e-001
-1.299999999999968e-002	4.479109e-001
-1.199999999999968e-002	4.476641e-001
-1.099999999999968e-002	4.474362e-001
-9.999999999999676e-003	4.472272e-001
-8.999999999999675e-003	4.470374e-001
-7.999999999999674e-003	4.468670e-001
-6.999999999999674e-003	4.467162e-001
-5.999999999999674e-003	4.465852e-001
-4.999999999999674e-003	4.464741e-001
-3.999999999999674e-003	4.463831e-001
-2.999999999999674e-003	4.463122e-001
-1.999999999999674e-003	4.462614e-001
-9.999999999996739e-004	4.462310e-001
3.261280134836397e-016	4.462208e-001
1.000000000000326e-003	4.462310e-001
2.000000000000326e-003	4.462614e-001
3.000000000000326e-003	4.463122e-001
4.000000000000326e-003	4.463831e-001
5.000000000000326e-003	4.464741e-001
6.000000000000326e-003	4.465852e-001
7.000000000000326e-003	4.467162e-001
8.000000000000326e-003	4.468670e-001
9.000000000000327e-003	4.470374e-001
1.000000000000033e-002	4.472272e-001
1.100000000000033e-002	4.474362e-001
1.200000000000033e-002	4.476641e-001
1.300000000000033e-002	4.479109e-001
1.400000000000033e-002	4.481762e-001
1.500000000000033e-002	4.484597e-001
1.600000000000033e-002	4.487611e-001
1.700000000000033e-002	4.490802e-001
1.800000000000034e-002	4.494166e-001
1.900000000000034e-002	4.497700e-001
2.000000000000034e-002	4.501401e-001
2.100000000000034e-002	4.505265e-001
2.200000000000034e-002	4.509289e-001
2.300000000000034e-002	4.513469e-001
2.400000000000034e-002	4.517802e-001
2.500000000000034e-002	4.522283e-001
2.600000000000034e-002	4.526910e-001
2.700000000000034e-002	4.531678e-001
2.800000000000034e-002	4.536583e-001
2.900000000000035e-002	4.541622e-001
3.000000000000035e-002	4.546790e-001
3.100000000000035e-002	4.552084e-001
3.200000000000035e-002	4.557500e-001
3.300000000000035e-002	4.563035e-001
3.400000000000035e-002	4.568684e-001
3.500000000000035e-002	4.574444e-001
3.600000000000035e-002	4.580311e-001
3.700000000000035e-002	4.586281e-001
3.800000000000035e-002	4.592351e-001
3.900000000000035e-002	4.598518e-001
4.000000000000036e-002	4.604777e-001
4.100000000000036e-002	4.611125e-001
4.200000000000036e-002	4.617560e-001
4.300000000000036e-002	4.624077e-001
4.400000000000036e-002	4.630674e-001
4.500000000000036e-002	4.637347e-001
4.600000000000036e-002	4.644094e-001
4.700000000000036e-002	4.650910e-001
4.800000000000036e-002	4.657795e-001
4.900000000000036e-002	4.664744e-001
5.000000000000036e-002	4.671755e-001
5.100000000000036e-002	4.678826e-001
5.200000000000037e-002	4.685954e-001
5.300000000000037e-002	4.693136e-001
5.400000000000037e-002	4.700370e-001
5.500000000000037e-002	4.707654e-001
5.600000000000037e-002	4.714985e-001
5.700000000000037e-002	4.722362e-001
5.800000000000037e-002	4.729781e-001
5.900000000000037e-002	4.737243e-001
6.000000000000037e-002	4.744744e-001
6.100000000000037e-002	4.752282e-001
6.200000000000037e-002	4.759856e-001
6.300000000000038e-002	4.767465e-001
6.400000000000038e-002	4.775106e-001
6.500000000000038e-002	4.782778e-001
6.600000000000038e-002	4.790480e-001
6.700000000000038e-002	4.798210e-001
6.800000000000038e-002	4.805967e-001
6.900000000000038e-002	4.813749e-001
7.000000000000038e-002	4.821556e-001
7.100000000000038e-002	4.829385e-001
7.200000000000038e-002	4.837236e-001
7.300000000000038e-002	4.845109e-001
7.400000000000039e-002	4.853001e-001
7.500000000000039e-002	4.860912e-001
7.600000000000039e-002	4.868841e-001
7.700000000000039e-002	4.876787e-001
7.800000000000039e-002	4.884749e-001
7.900000000000039e-002	4.892726e-001
8.000000000000039e-002	4.900718e-001
8.100000000000039e-002	4.908724e-001
8.200000000000039e-002	4.916743e-001
8.300000000000039e-002	4.924774e-001
8.400000000000039e-002	4.932818e-001
8.500000000000040e-002	4.940872e-001
8.600000000000040e-002	4.948938e-001
8.700000000000040e-002	4.957013e-001
8.800000000000040e-002	4.965098e-001
8.900000000000040e-002	4.973193e-001
9.000000000000040e-002	4.981295e-001
9.100000000000040e-002	4.989406e-001
9.200000000000040e-002	4.997526e-001
9.300000000000040e-002	5.005652e-001
9.400000000000040e-002	5.013785e-001
9.500000000000040e-002	5.021926e-001
9.600000000000040e-002	5.030072e-001
9.700000000000041e-002	5.038224e-001
9.800000000000041e-002	5.046383e-001
9.900000000000041e-002	5.054546e-001
1.000000000000004e-001	5.062715e-001
1.010000000000004e-001	5.070888e-001
1.020000000000004e-001	5.079067e-001
1.030000000000004e-001	5.087250e-001
1.040000000000004e-001	5.095437e-001
1.050000000000004e-001	5.103628e-001
1.060000000000004e-001	5.111822e-001
1.070000000000004e-001	5.120021e-001
1.080000000000004e-001	5.128223e-001
1.090000000000004e-001	5.136428e-001
1.100000000000004e-001	5.144636e-001
1.110000000000004e-001	5.152847e-001
1.120000000000004e-001	5.161061e-001
1.130000000000004e-001	5.169278e-001
1.140000000000004e-001	5.177497e-001
1.150000000000004e-001	5.185719e-001
1.160000000000004e-001	5.193943e-001
1.170000000000004e-001	5.202169e-001
1.180000000000004e-001	5.210397e-001
1.190000000000004e-001	5.218627e-001
1.200000000000004e-001	5.226859e-001
1.210000000000004e-001	5.235094e-001
1.220000000000004e-001	5.243329e-001
1.230000000000004e-001	5.251567e-001
1.240000000000004e-001	5.259806e-001
1.250000000000004e-001	5.268047e-001
1.260000000000004e-001	5.276289e-001
1.270000000000004e-001	5.284532e-001
1.280000000000004e-001	5.292777e-001
1.290000000000004e-001	5.301023e-001
1.300000000000004e-001	5.309271e-001
1.310000000000004e-001	5.317519e-001
1.320000000000004e-001	5.325769e-001
1.330000000000004e-001	5.334020e-001
1.340000000000004e-001	5.342271e-001
1.350000000000004e-001	5.350524e-001
1.360000000000004e-001	5.358778e-001
1.370000000000004e-001	5.367033e-001
1.380000000000004e-001	5.375289e-001
1.390000000000004e-001	5.383545e-001
1.400000000000004e-001	5.391803e-001
1.410000000000004e-001	5.400061e-001
1.420000000000004e-001	5.408320e-001
1.430000000000004e-001	5.416580e-001
1.440000000000004e-001	5.424840e-001
1.450000000000004e-001	5.433102e-001
1.460000000000004e-001	5.441363e-001
1.470000000000004e-001	5.449626e-001
1.480000000000004e-001	5.457889e-001
1.490000000000004e-001	5.466153e-001
1.500000000000004e-001	5.474418e-001
1.510000000000004e-001	5.482683e-001
1.520000000000004e-001	5.490949e-001
1.530000000000004e-001	5.499215e-001
1.540000000000004e-001	5.507482e-001
1.550000000000004e-001	5.515749e-001
1.560000000000004e-001	5.524017e-001
1.570000000000004e-001	5.532286e-001
1.580000000000005e-001	5.540555e-001
1.590000000000005e-001	5.548825e-001
1.600000000000005e-001	5.557094e-001
1.610000000000005e-001	5.565365e-001
1.620000000000005e-001	5.573636e-001
1.630000000000005e-001	5.581908e-001
1.640000000000005e-001	5.590180e-001
1.650000000000005e-001	5.598451e-001
1.660000000000005e-001	5.606725e-001
1.670000000000005e-001	5.614998e-001
1.680000000000005e-001	5.623271e-001
1.690000000000005e-001	5.631546e-001
