v7	Id(M3)+Id(M4)
Step Information: Iq=10n  (Run: 1/8)
3.600000000000018e-002	3.580134e-007
7.200000000000018e-002	9.123681e-007
1.080000000000002e-001	1.857466e-006
1.440000000000002e-001	3.354789e-006
1.800000000000002e-001	5.472734e-006
2.160000000000002e-001	8.174914e-006
2.520000000000002e-001	1.136347e-005
2.880000000000001e-001	1.493131e-005
3.240000000000001e-001	1.879105e-005
3.600000000000001e-001	2.288093e-005
3.960000000000001e-001	2.715974e-005
4.320000000000001e-001	3.159964e-005
4.680000000000000e-001	3.618050e-005
5.040000000000000e-001	4.088630e-005
5.400000000000000e-001	4.570313e-005
5.760000000000001e-001	5.061820e-005
6.120000000000001e-001	5.561948e-005
6.480000000000001e-001	6.069555e-005
6.840000000000002e-001	6.583560e-005
7.200000000000002e-001	7.102948e-005
7.560000000000002e-001	7.626771e-005
7.920000000000003e-001	8.154150e-005
8.280000000000003e-001	8.684275e-005
8.640000000000003e-001	9.216404e-005
9.000000000000000e-001	9.749860e-005
Step Information: Iq=500n  (Run: 4/8)
-9.000000000000000e-001	-1.006863e-004
-8.640000000000000e-001	-9.454982e-005
-8.280000000000000e-001	-8.850529e-005
-7.919999999999999e-001	-8.256325e-005
-7.559999999999999e-001	-7.673397e-005
-7.199999999999999e-001	-7.102750e-005
-6.839999999999998e-001	-6.545375e-005
-6.479999999999998e-001	-6.002245e-005
-6.119999999999998e-001	-5.474328e-005
-5.759999999999997e-001	-4.962577e-005
-5.399999999999997e-001	-4.467936e-005
-5.039999999999997e-001	-3.991342e-005
-4.679999999999997e-001	-3.533726e-005
-4.319999999999997e-001	-3.096031e-005
-3.959999999999997e-001	-2.679239e-005
-3.599999999999998e-001	-2.284427e-005
-3.239999999999998e-001	-1.912865e-005
-2.879999999999998e-001	-1.566170e-005
-2.519999999999998e-001	-1.246521e-005
-2.159999999999998e-001	-9.568904e-006
-1.799999999999998e-001	-7.011546e-006
-1.439999999999998e-001	-4.837407e-006
-1.079999999999998e-001	-3.083144e-006
-7.199999999999981e-002	-1.751389e-006
-3.599999999999982e-002	-7.763349e-007
1.804112415015879e-016	-1.136868e-013
3.600000000000018e-002	8.172532e-007
7.200000000000018e-002	1.940296e-006
1.080000000000002e-001	3.573960e-006
1.440000000000002e-001	5.801199e-006
1.800000000000002e-001	8.588507e-006
2.160000000000002e-001	1.184096e-005
2.520000000000002e-001	1.545634e-005
2.880000000000001e-001	1.935236e-005
3.240000000000001e-001	2.347120e-005
3.600000000000001e-001	2.777422e-005
3.960000000000001e-001	3.223507e-005
4.320000000000001e-001	3.683441e-005
4.680000000000000e-001	4.155663e-005
5.040000000000000e-001	4.638800e-005
5.400000000000000e-001	5.131590e-005
5.760000000000001e-001	5.632836e-005
6.120000000000001e-001	6.141406e-005
6.480000000000001e-001	6.656228e-005
6.840000000000002e-001	7.176294e-005
7.200000000000002e-001	7.700668e-005
7.560000000000002e-001	8.228480e-005
7.920000000000003e-001	8.758930e-005
8.280000000000003e-001	9.291286e-005
8.640000000000003e-001	9.824876e-005
9.000000000000000e-001	1.035909e-004
Step Information: Iq=1u  (Run: 5/8)
-9.000000000000000e-001	-1.068952e-004
-8.640000000000000e-001	-1.006778e-004
-8.280000000000000e-001	-9.454149e-005
-7.919999999999999e-001	-8.849709e-005
-7.559999999999999e-001	-8.255520e-005
-7.199999999999999e-001	-7.672609e-005
-6.839999999999998e-001	-7.101979e-005
-6.479999999999998e-001	-6.544622e-005
-6.119999999999998e-001	-6.001513e-005
-5.759999999999997e-001	-5.473617e-005
-5.399999999999997e-001	-4.961889e-005
-5.039999999999997e-001	-4.467272e-005
-4.679999999999997e-001	-3.990702e-005
-4.319999999999997e-001	-3.533112e-005
-3.959999999999997e-001	-3.095442e-005
-3.599999999999998e-001	-2.678673e-005
-3.239999999999998e-001	-2.283873e-005
-2.879999999999998e-001	-1.912296e-005
-2.519999999999998e-001	-1.565512e-005
-2.159999999999998e-001	-1.245588e-005
-1.799999999999998e-001	-9.552261e-006
-1.439999999999998e-001	-6.976788e-006
-1.079999999999998e-001	-4.760054e-006
-7.199999999999981e-002	-2.910026e-006
-3.599999999999982e-002	-1.374149e-006
1.804112415015879e-016	-2.273737e-013
3.600000000000018e-002	1.457756e-006
7.200000000000018e-002	3.251982e-006
1.080000000000002e-001	5.536713e-006
1.440000000000002e-001	8.333473e-006
1.800000000000002e-001	1.157736e-005
2.160000000000002e-001	1.517918e-005
2.520000000000002e-001	1.906134e-005
2.880000000000001e-001	2.316738e-005
3.240000000000001e-001	2.745887e-005
3.600000000000001e-001	3.190937e-005
3.960000000000001e-001	3.649942e-005
4.320000000000001e-001	4.121332e-005
4.680000000000000e-001	4.603731e-005
5.040000000000000e-001	5.095868e-005
5.400000000000000e-001	5.596545e-005
5.760000000000001e-001	6.104625e-005
6.120000000000001e-001	6.619032e-005
6.480000000000001e-001	7.138753e-005
6.840000000000002e-001	7.662847e-005
7.200000000000002e-001	8.190440e-005
7.560000000000002e-001	8.720726e-005
7.920000000000003e-001	9.252967e-005
8.280000000000003e-001	9.786490e-005
8.640000000000003e-001	1.032068e-004
9.000000000000000e-001	1.085497e-004
Step Information: Iq=2u  (Run: 6/8)
-9.000000000000000e-001	-1.140759e-004
-8.640000000000000e-001	-1.077803e-004
-8.280000000000000e-001	-1.015524e-004
-7.919999999999999e-001	-9.540392e-005
-7.559999999999999e-001	-8.934586e-005
-7.199999999999999e-001	-8.338885e-005
-6.839999999999998e-001	-7.754317e-005
-6.479999999999998e-001	-7.181890e-005
-6.119999999999998e-001	-6.622597e-005
-5.759999999999997e-001	-6.077414e-005
-5.399999999999997e-001	-5.547308e-005
-5.039999999999997e-001	-5.033236e-005
-4.679999999999997e-001	-4.536141e-005
-4.319999999999997e-001	-4.056960e-005
-3.959999999999997e-001	-3.596621e-005
-3.599999999999998e-001	-3.156057e-005
-3.239999999999998e-001	-2.736218e-005
-2.879999999999998e-001	-2.338108e-005
-2.519999999999998e-001	-1.962823e-005
-2.159999999999998e-001	-1.611588e-005
-1.799999999999998e-001	-1.285715e-005
-1.439999999999998e-001	-9.863380e-006
-1.079999999999998e-001	-7.135619e-006
